IATA Codes
HEE
MNZ
HEZ
HFF
HUJ
HIE
HII
HKA
HKS
HLB
HLC
HLM
HMT
HNB
HSH
HPT
HPY
HES
HSB
HNC
THP
HSI
HSP
HTH
HTL
HTO
HTW
HUM
HVE
HVS
HWD
HWO
WSH
HHH
HZL
JFN
ICL
IDI
IDP
XPR
IFA
IFP
IGM
KIL
ILE
IML
IMM
MDN
IMT
INS
IOW
KIQ
IRS
ISQ
ISW
IWD
ISS
IWS
JCI
IYK
SQA
FRY
JAS
JDN
JEF
GUF
JOT
USA
JKV
JVL
KIC
KKU
DTH
BXS
RBF
TRH
LAA
LAM
LCI
LCQ
LDJ
LDM
LEM
LEW
LGC
LGD
LGF
LHV
LIY
LFN
LIC
LKP
LOW
LKV
CHL
LMS
LNA
LNN
LNP
LNR
BBX
LOT
LPC
LQK
LRJ
LSB
LSK
LSN
LUL
LVK
LVL
LWC
LWL
LWV
LXN
LXV
LYO
LZU
PCU
MLK
MAC
MAE
MAW
KMB
MBL
DXE
MBY
MCD
MDD
XMD
MDF
MXE
MEV
KMF
MFI
MFV
MGC
MGJ
MGR
MGY
MHE
MHL
MHV
MIT
MJX
MKG
MRK
KMM
MMH
MMI
MML
MMS
MNM
MNN
RMY
MPJ
MPO
MPZ
MQB
MEO
CTH
MRC
MRF
MRN
MSV
MTO
MTP
MTW
MUT
MVC
MVE
MVL
MVY
MWA
MWC
MWL
MWO
MXA
MYF
MZJ
MZZ
CTX
SXY
ESP
NHX
DGN
NEN
NRS
NVN
COA
ODC
EYR
OAR
OBE
OCF
OCH
OCW
OEA
OEO
OGA
OGS
OIC
OJC
OCN
ODW
OKK
OKM
OKS
WGO
OLD
OLV
KOM
OMK
ONL
ONO
KOR
ORL
ESD
OSC
OUN
OVE
OWA
OWK
OCE
OXC
OXD
STQ
OZA
YJS
BSQ
PXL
GLB
HBK
CWX
PJB
PAO
PVL
PCD
KPE
PEQ
PGD
PGR
PHD
ADR
PHK
PHN
PHP
PHT
PIM
PKD
PKF
KPL
PLK
PLR
PMB
PMH
PPM
PNN
POC
POF
POY
PPA
PPF
LPO
PGL
PRO
PSF
PSK
PSN
PGO
PSX
PTB
PTN
PTT
PTV
PTW
PUB
PUC
PVC
PVF
PVW
PWA
PWD
PYM
KQL
RAC
RBD
RBG
RBW
RCK
RCR
RCT
REO
RHV
KRJ
RKD
RKP
RKW
RNC
RNT
ROG
ROX
RIE
RPX
WBR
RQO
RRL
RRT
RSN
RTN
KRU
SRW
RED
RXE
RNZ
AHM
BDY
SUO
MDJ
PRZ
IDH
VSK
SAA
SAD
SAR
SBM
SBS
SBX
SCB
SCF
SEE
SEF
SEG
SEM
SEP
SER
SDX
SFM
SFZ
SGT
SHD
SHN
SIK
SIV
SJN
TSM
SLB
SLG
SLO
SLR
SMD
SMO
SUM
SNK
SNL
SOP
SOW
KSP
SPA
SPF
SPG
SPW
SQI
SQL
STE
STK
SUA
SUD
SUE
SUW
SVC
SVE
SVH
SWW
SYI
SYV
TBC
TAD
TBR
KTC
TDO
TDW
TDZ
TEX
THA
THM
THV
KNT
TLR
TMA
OTK
TNP
TNT
TNU
XSD
TOA
TOC
TOR
TPF
TRL
TSP
TVF
TVI
TYZ
BFG
NPH
RVR
PNU
ICS
UBS
UCY
UDD
UES
UGN
UIL
IKB
UKT
ULM
ATO
UNU
UOS
KUP
UTM
NPT
UVA
KUX
RKH
LLY
VCV
VDI
KVE
VHN
VIH
VIS
VJI
VKS
VLA
VNC
VQQ
VSF
VYS
GTY
SQV
PGC
WAL
WAY
WBW
WDG
WDR
WHP
WLD
KRY
TCG
